stack_name,stack_type,image_url,homepage_url
JsonAPI,Query Languages,https://img.stackshare.io/service/6121/UdFPGKd5_400x400.jpg,http://jsonapi.org/
Sprout Social,Social Media Tools,https://img.stackshare.io/service/6033/3dynAKiy_400x400.png,https://sproutsocial.com/
RStudio,Text Editor,https://img.stackshare.io/service/2382/YYMiHBTH_400x400.png,http://www.rstudio.com/
IndexedDB,Databases,https://img.stackshare.io/service/3991/New_Project__92_.png,https://developer.mozilla.org/en-US/docs/Web/API/IndexedDB_API
OpenNN,Machine Learning Tools,https://img.stackshare.io/service/10438/three_neurons.png,http://www.opennn.net/
Coda,No Code Platforms,https://img.stackshare.io/service/11707/default_c8d58625fbf8bbe166e46caca1a229d104227f21.png,https://coda.io/welcome
Hoppscotch,API Tools,https://img.stackshare.io/service/20953/default_5430796006330b4d4535abfa2e0da3a8a0ea1aa9.png,https://hoppscotch.com/
Task,Code Automation Tools,https://img.stackshare.io/service/48482/default_5dee5f4989ab151bd649d5815afef197088f57d0.jpg,https://taskfile.dev/
Micronaut Framework,Frameworks (Full Stack),https://img.stackshare.io/service/10065/YY4et2-e_400x400.jpg,http://micronaut.io/
Coda,No Code Platforms,https://img.stackshare.io/service/11707/default_c8d58625fbf8bbe166e46caca1a229d104227f21.png,https://coda.io/welcome
Vertica,Databases,https://img.stackshare.io/service/1749/ZFjB1nl1_400x400.jpg,http://www.vertica.com/
Laravel Forge,Deployment as a Service,https://img.stackshare.io/service/1727/maxresdefault.jpg,https://forge.laravel.com/
Debezium,Database Tools,https://img.stackshare.io/service/10655/IkKA5JgJ_400x400.jpg,https://debezium.io/
IBM DB2,Databases,https://img.stackshare.io/service/1029/preview.jpeg,https://www.ibm.com/analytics/db2
IndexedDB,Databases,https://img.stackshare.io/service/3991/New_Project__92_.png,https://developer.mozilla.org/en-US/docs/Web/API/IndexedDB_API
OpenNN,Machine Learning Tools,https://img.stackshare.io/service/10438/three_neurons.png,http://www.opennn.net/
Pandoc,File Conversion,https://img.stackshare.io/service/2330/no-img-open-source.png,https://pandoc.org/
